Transaction_date,Transaction_year,Transaction_month,Transaction_ID,Gender,Age,Age_group,Marital_status,State_names,Segment,Employees_status,Payment_method,Referral,Amount_spent,,Label,Description
1/1/2019,2019,January,151200,Female,19,(15-24),Single,Kansas,Basic,Unemployment,Other,Referred,"$2,051.36",,Transaction_date,Transaction date
1/1/2019,2019,January,151201,Male,49,(40-54),Single,Illinois,Basic,Self-employed,Card,No Referral,$544.04,,Transaction_ID,This is a unique transaction id
1/1/2019,2019,January,151202,Male,63,(55+),Married,New Mexico,Basic,Workers,PayPal,Referred,"$1,572.60",,Gender,Customer Gender
1/3/2019,2019,January,151205,Male,71,(55+),Single,Hawaii,Basic,Employees,PayPal,Referred,"$2,922.66",,Age,Customer Age
1/3/2019,2019,January,151206,Female,34,(25-39),Married,New Mexico,Platinum,Employees,PayPal,Referred,"$1,481.42",,Marital_status,Marital staus about customer
1/3/2019,2019,January,151207,Male,37,(25-39),Married,Connecticut,Basic,Workers,PayPal,Referred,"$1,149.55",,State_names,Customer location of State
1/4/2019,2019,January,151208,Male,75,(55+),Married,Florida,Silver,Employees,Card,No Referral,"$1,046.20",,Segment,Customer Membership
1/4/2019,2019,January,151209,Female,41,(40-54),Married,Vermont,Gold,Unemployment,Card,Referred,"$2,730.60",,Employee_status,Customer employment status
1/4/2019,2019,January,151210,Female,56,(55+),Married,California,Basic,Employees,PayPal,No Referral,"$1,712.82",,Payment_method,Payment method used by customer
1/5/2019,2019,January,151211,Female,63,(55+),Married,Colorado,Basic,Workers,Other,Referred,$154.31,,Referal,Customer coming from referral link or not
1/5/2019,2019,January,151212,Female,60,(55+),Married,Iowa,Basic,Self-employed,Card,Referred,$819.08,,Amount_spent,Amount spent by customer per transaction
1/5/2019,2019,January,151213,Male,47,(40-54),Single,South Carolina,Basic,Employees,PayPal,Referred,"$1,719.83",,,
1/5/2019,2019,January,151214,Male,24,(15-24),Married,Colorado,Platinum,Self-employed,Other,Referred,$954.12,15,,
1/6/2019,2019,January,151215,Male,16,(15-24),Single,New York,Platinum,Workers,Other,Referred,"$1,005.92",78,,
1/6/2019,2019,January,151216,Female,72,(55+),Married,Maine,Silver,Self-employed,PayPal,Referred,"$2,882.77",,,Groups:
1/7/2019,2019,January,151217,Female,77,(55+),Married,New Mexico,Platinum,Workers,Card,No Referral,"$2,999.98",,,15-24
1/7/2019,2019,January,151218,Male,42,(40-54),Married,Maryland,Basic,Self-employed,Other,No Referral,"$1,902.73",,,25-39
1/8/2019,2019,January,151219,Female,46,(40-54),Married,Missouri,Basic,Employees,Card,Referred,"$2,968.95",,,40-54
1/8/2019,2019,January,151221,Male,42,(40-54),Married,North Dakota,Silver,Workers,PayPal,No Referral,$995.77,,,55+
1/8/2019,2019,January,151222,Female,50,(40-54),Married,Ohio,Missing,Workers,Card,No Referral,$719.13,,,
1/9/2019,2019,January,151223,Male,47,(40-54),Single,Nebraska,Basic,Self-employed,PayPal,Referred,"$2,407.36",,,
1/10/2019,2019,January,151224,Female,32,(25-39),Single,Montana,Basic,Employees,PayPal,No Referral,"$2,737.41",,,
1/11/2019,2019,January,151225,Male,25,(25-39),Married,Indiana,Basic,Self-employed,Other,Referred,"$1,514.75",,,
1/12/2019,2019,January,151226,Male,33,(25-39),Married,Wisconsin,Basic,Self-employed,Card,Referred,$293.58,,,
1/12/2019,2019,January,151227,Male,61,(55+),Married,Alabama,Platinum,Workers,Card,Referred,"$1,094.67",,,
1/12/2019,2019,January,151228,Male,75,(55+),Married,Alabama,Basic,Self-employed,PayPal,Referred,$233.05,,,
1/13/2019,2019,January,151231,Female,21,(15-24),Single,Montana,Basic,Employees,Card,No Referral,"$2,035.07",,,
1/13/2019,2019,January,151232,Male,39,(25-39),Single,Arkansas,Basic,Employees,Other,No Referral,$128.29,,,
1/14/2019,2019,January,151233,Male,15,(15-24),Married,Missouri,Gold,Self-employed,Card,Referred,$628.93,,,
1/14/2019,2019,January,151234,Female,59,(55+),Married,Pennsylvania,Basic,Employees,Card,No Referral,"$1,729.36",,,
1/14/2019,2019,January,151235,Male,70,(55+),Married,New Hampshire,Silver,Workers,Other,Referred,"$2,040.29",,,
1/14/2019,2019,January,151236,Male,75,(55+),Married,Washington,Platinum,Employees,PayPal,Referred,"$2,744.88",,,
1/16/2019,2019,January,151237,Male,64,(55+),Married,Texas,Missing,Employees,PayPal,Referred,$351.88,,,
1/16/2019,2019,January,151238,Female,64,(55+),Married,Ohio,Silver,Unemployment,Other,No Referral,$692.14,,,
1/17/2019,2019,January,151239,Male,64,(55+),Married,New York,Silver,Unemployment,PayPal,Referred,"$2,418.62",,,
1/17/2019,2019,January,151240,Female,21,(15-24),Married,Kentucky,Basic,Workers,Card,No Referral,"$2,734.15",,,
1/17/2019,2019,January,151241,Female,46,(40-54),Married,New Mexico,Silver,Workers,PayPal,Referred,"$2,851.83",,,
1/17/2019,2019,January,151242,Female,16,(15-24),Single,Texas,Gold,Self-employed,PayPal,Referred,$938.16,,,
1/18/2019,2019,January,151243,Female,63,(55+),Married,Maine,Gold,Workers,PayPal,Referred,$281.92,,,
1/19/2019,2019,January,151244,Male,75,(55+),Single,Massachusetts,Basic,Employees,PayPal,Referred,$747.68,,,
1/20/2019,2019,January,151245,Male,70,(55+),Married,Wyoming,Basic,Unemployment,Card,Referred,"$1,784.15",,,
1/20/2019,2019,January,151246,Male,41,(40-54),Single,Kentucky,Missing,Employees,PayPal,Referred,"$1,115.90",,,
1/21/2019,2019,January,151247,Male,33,(25-39),Married,Florida,Silver,Employees,Other,No Referral,"$1,902.47",,,
1/21/2019,2019,January,151248,Female,64,(55+),Single,Massachusetts,Platinum,Self-employed,Card,Referred,"$1,949.92",,,
1/22/2019,2019,January,151250,Female,16,(15-24),Married,Maryland,Silver,Employees,PayPal,Referred,$583.72,,,
1/22/2019,2019,January,151251,Male,56,(55+),Single,Louisiana,Basic,Self-employed,Card,No Referral,"$2,445.03",,,
1/22/2019,2019,January,151252,Male,35,(25-39),Married,North Carolina,Basic,Unemployment,PayPal,Referred,"$1,107.96",,,
