Transaction_date,Year,Month,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
01/01/19,2019,01,151200,Female,19.0,Single,Kansas,Basic,Unemployment,Other,1.0,2051.36
01/01/19,2019,01,151201,Male,49.0,Single,Illinois,Basic,self-employed,Card,0.0,544.04
01/01/19,2019,01,151202,Male,63.0,Married,New Mexico,Basic,workers,PayPal,1.0,1572.6
01/03/19,2019,01,151205,Male,71.0,Single,Hawaii,Basic,Employees,PayPal,1.0,2922.66
01/03/19,2019,01,151206,Female,34.0,Married,New Mexico,Platinum,Employees,PayPal,1.0,1481.42
01/03/19,2019,01,151207,Male,37.0,Married,Connecticut,Basic,workers,PayPal,1.0,1149.55
01/04/19,2019,01,151208,Male,75.0,Married,Florida,Silver,Employees,Card,0.0,1046.2
01/04/19,2019,01,151209,Female,41.0,Married,Vermont,Gold,Unemployment,Card,1.0,2730.6
01/04/19,2019,01,151210,Female,56.0,Married,California,Basic,Employees,PayPal,0.0,1712.82
01/05/19,2019,01,151211,Female,63.0,Married,Colorado,Basic,workers,Other,1.0,154.31
01/05/19,2019,01,151212,Female,60.0,Married,Iowa,Basic,self-employed,Card,1.0,819.08
01/05/19,2019,01,151213,Male,47.0,Single,South Carolina,Basic,Employees,PayPal,1.0,1719.83
01/05/19,2019,01,151214,Male,24.0,Married,Colorado,Platinum,self-employed,Other,1.0,954.12
01/06/19,2019,01,151215,Male,16.0,Single,New York,Platinum,workers,Other,1.0,1005.92
01/06/19,2019,01,151216,Female,72.0,Married,Maine,Silver,self-employed,PayPal,1.0,2882.77
01/07/19,2019,01,151217,Female,77.0,Married,New Mexico,Platinum,workers,Card,0.0,2999.98
01/07/19,2019,01,151218,Male,42.0,Married,Maryland,Basic,self-employed,Other,0.0,1902.73
01/08/19,2019,01,151219,Female,46.0,Married,Missouri,Basic,Employees,Card,1.0,2968.95
01/08/19,2019,01,151221,Male,42.0,Married,North Dakota,Silver,workers,PayPal,0.0,995.77
01/08/19,2019,01,151222,Female,50.0,Married,Ohio,Missing,workers,Card,0.0,719.13
01/09/19,2019,01,151223,Male,47.0,Single,Nebraska,Basic,self-employed,PayPal,1.0,2407.36
01/10/19,2019,01,151224,Female,32.0,Single,Montana,Basic,Employees,PayPal,0.0,2737.41
01/11/19,2019,01,151225,Male,25.0,Married,Indiana,Basic,self-employed,Other,1.0,1514.75
01/12/19,2019,01,151226,Male,33.0,Married,Wisconsin,Basic,self-employed,Card,1.0,293.58
01/12/19,2019,01,151227,Male,61.0,Married,Alabama,Platinum,workers,Card,1.0,1094.67
01/12/19,2019,01,151228,Male,75.0,Married,Alabama,Basic,self-employed,PayPal,1.0,233.05
01/13/19,2019,01,151231,Female,21.0,Single,Montana,Basic,Employees,Card,0.0,2035.07
01/13/19,2019,01,151232,Male,39.0,Single,Arkansas,Basic,Employees,Other,0.0,128.29
01/14/19,2019,01,151233,Male,15.0,Married,Missouri,Gold,self-employed,Card,1.0,628.93
01/14/19,2019,01,151234,Female,59.0,Married,Pennsylvania,Basic,Employees,Card,0.0,1729.36
