,Transaction_date,Year,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
0,01/01/19,2019,151200,Female,19.0,Single,Kansas,Basic,Unemployment,Other,1.0,2051.36
1,01/01/19,2019,151201,Male,49.0,Single,Illinois,Basic,self-employed,Card,0.0,544.04
2,01/01/19,2019,151202,Male,63.0,Married,New Mexico,Basic,workers,PayPal,1.0,1572.6
3,01/03/19,2019,151205,Male,71.0,Single,Hawaii,Basic,Employees,PayPal,1.0,2922.66
4,01/03/19,2019,151206,Female,34.0,Married,New Mexico,Platinum,Employees,PayPal,1.0,1481.42
5,01/03/19,2019,151207,Male,37.0,Married,Connecticut,Basic,workers,PayPal,1.0,1149.55
6,01/04/19,2019,151208,Male,75.0,Married,Florida,Silver,Employees,Card,0.0,1046.2
7,01/04/19,2019,151209,Female,41.0,Married,Vermont,Gold,Unemployment,Card,1.0,2730.6
8,01/04/19,2019,151210,Female,56.0,Married,California,Basic,Employees,PayPal,0.0,1712.82
9,01/05/19,2019,151211,Female,63.0,Married,Colorado,Basic,workers,Other,1.0,154.31
10,01/05/19,2019,151212,Female,60.0,Married,Iowa,Basic,self-employed,Card,1.0,819.08
11,01/05/19,2019,151213,Male,47.0,Single,South Carolina,Basic,Employees,PayPal,1.0,1719.83
12,01/05/19,2019,151214,Male,24.0,Married,Colorado,Platinum,self-employed,Other,1.0,954.12
13,01/06/19,2019,151215,Male,16.0,Single,New York,Platinum,workers,Other,1.0,1005.92
14,01/06/19,2019,151216,Female,72.0,Married,Maine,Silver,self-employed,PayPal,1.0,2882.77
15,01/07/19,2019,151217,Female,77.0,Married,New Mexico,Platinum,workers,Card,0.0,2999.98
16,01/07/19,2019,151218,Male,42.0,Married,Maryland,Basic,self-employed,Other,0.0,1902.73
17,01/08/19,2019,151219,Female,46.0,Married,Missouri,Basic,Employees,Card,1.0,2968.95
18,01/08/19,2019,151221,Male,42.0,Married,North Dakota,Silver,workers,PayPal,0.0,995.77
19,01/08/19,2019,151222,Female,50.0,Married,Ohio,Missing,workers,Card,0.0,719.13
20,01/09/19,2019,151223,Male,47.0,Single,Nebraska,Basic,self-employed,PayPal,1.0,2407.36
21,01/10/19,2019,151224,Female,32.0,Single,Montana,Basic,Employees,PayPal,0.0,2737.41
22,01/11/19,2019,151225,Male,25.0,Married,Indiana,Basic,self-employed,Other,1.0,1514.75
23,01/12/19,2019,151226,Male,33.0,Married,Wisconsin,Basic,self-employed,Card,1.0,293.58
24,01/12/19,2019,151227,Male,61.0,Married,Alabama,Platinum,workers,Card,1.0,1094.67
25,01/12/19,2019,151228,Male,75.0,Married,Alabama,Basic,self-employed,PayPal,1.0,233.05
26,01/13/19,2019,151231,Female,21.0,Single,Montana,Basic,Employees,Card,0.0,2035.07
27,01/13/19,2019,151232,Male,39.0,Single,Arkansas,Basic,Employees,Other,0.0,128.29
28,01/14/19,2019,151233,Male,15.0,Married,Missouri,Gold,self-employed,Card,1.0,628.93
29,01/14/19,2019,151234,Female,59.0,Married,Pennsylvania,Basic,Employees,Card,0.0,1729.36
30,01/14/19,2019,151235,Male,70.0,Married,New Hampshire,Silver,workers,Other,1.0,2040.29
31,01/14/19,2019,151236,Male,75.0,Married,Washington,Platinum,Employees,PayPal,1.0,2744.88
32,01/16/19,2019,151237,Male,64.0,Married,Texas,Missing,Employees,PayPal,1.0,351.88
33,01/16/19,2019,151238,Female,64.0,Married,Ohio,Silver,Unemployment,Other,0.0,692.14
34,01/17/19,2019,151239,Male,64.0,Married,New York,Silver,Unemployment,PayPal,1.0,2418.62
35,01/17/19,2019,151240,Female,21.0,Married,Kentucky,Basic,workers,Card,0.0,2734.15
36,01/17/19,2019,151241,Female,46.0,Married,New Mexico,Silver,workers,PayPal,1.0,2851.83
37,01/17/19,2019,151242,Female,16.0,Single,Texas,Gold,self-employed,PayPal,1.0,938.16
38,01/18/19,2019,151243,Female,63.0,Married,Maine,Gold,workers,PayPal,1.0,281.92
39,01/19/19,2019,151244,Male,75.0,Single,Massachusetts,Basic,Employees,PayPal,1.0,747.68
40,01/20/19,2019,151245,Male,70.0,Married,Wyoming,Basic,Unemployment,Card,1.0,1784.15
41,01/20/19,2019,151246,Male,41.0,Single,Kentucky,Missing,Employees,PayPal,1.0,1115.9
42,01/21/19,2019,151247,Male,33.0,Married,Florida,Silver,Employees,Other,0.0,1902.47
43,01/21/19,2019,151248,Female,64.0,Single,Massachusetts,Platinum,self-employed,Card,1.0,1949.92
44,01/22/19,2019,151250,Female,16.0,Married,Maryland,Silver,Employees,PayPal,1.0,583.72
45,01/22/19,2019,151251,Male,56.0,Single,Louisiana,Basic,self-employed,Card,0.0,2445.03
46,01/22/19,2019,151252,Male,35.0,Married,North Carolina,Basic,Unemployment,PayPal,1.0,1107.96
47,01/23/19,2019,151253,Male,51.0,Single,Kentucky,Basic,self-employed,PayPal,1.0,1312.78
48,01/23/19,2019,151254,Male,15.0,Married,Illinois,Basic,Employees,Card,1.0,2690.18
49,01/24/19,2019,151255,Male,26.0,Single,Rhode Island,Basic,workers,PayPal,1.0,2603.22
50,01/25/19,2019,151256,Female,67.0,Single,Iowa,Gold,Employees,PayPal,1.0,611.7
51,01/25/19,2019,151257,Male,71.0,Single,Massachusetts,Gold,Employees,PayPal,1.0,2569.67
52,01/25/19,2019,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
53,01/26/19,2019,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
54,01/26/19,2019,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
55,01/27/19,2019,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
56,01/25/19,2019,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
57,01/26/19,2019,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
58,01/26/19,2019,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
59,01/27/19,2019,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
60,01/27/19,2019,151264,Male,52.0,Married,Tennessee,Basic,self-employed,PayPal,1.0,2850.48
61,01/27/19,2019,151265,Female,30.0,Single,California,Silver,workers,Card,0.0,1947.2
62,01/29/19,2019,151266,Male,24.0,Married,Colorado,Platinum,workers,PayPal,0.0,1731.54
63,01/29/19,2019,151270,Male,24.0,Married,Oregon,Silver,workers,Other,1.0,1663.72
64,01/30/19,2019,151273,Female,73.0,Married,Alaska,Platinum,self-employed,PayPal,0.0,1364.31
65,01/30/19,2019,151274,Male,50.0,Single,Oklahoma,Missing,Employees,Card,1.0,2943.46
66,01/30/19,2019,151275,Male,28.0,Single,Connecticut,Basic,Unemployment,Card,1.0,2768.15
67,01/31/19,2019,151276,Female,49.0,Married,Vermont,Basic,workers,PayPal,1.0,2439.65
68,01/31/19,2019,151277,Female,70.0,Married,Ohio,Silver,workers,Other,1.0,574.1
69,02/01/19,2019,151278,Female,61.0,Single,Oklahoma,Basic,self-employed,Card,0.0,206.79
70,02/02/19,2019,151280,Male,34.0,Single,Illinois,Silver,workers,PayPal,1.0,1933.66
71,02/02/19,2019,151281,Female,58.0,Married,Nevada,Gold,workers,Card,0.0,2640.72
72,02/02/19,2019,151282,Male,70.0,Single,New Jersey,Basic,workers,PayPal,0.0,2969.24
73,02/02/19,2019,151283,Female,48.0,Married,Louisiana,Silver,Employees,Other,0.0,1144.28
74,02/03/19,2019,151285,Female,51.0,Married,Indiana,Platinum,workers,PayPal,1.0,2722.37
75,02/03/19,2019,151286,Male,45.0,Single,New York,Basic,Employees,Other,0.0,2823.89
76,02/04/19,2019,151287,Female,45.0,Single,New York,Silver,workers,PayPal,0.0,1955.43
77,02/04/19,2019,151288,Male,60.0,Married,Rhode Island,Silver,Employees,Card,1.0,841.26
78,02/05/19,2019,151290,Female,51.0,Single,Arkansas,Platinum,workers,Card,1.0,2547.96
79,02/05/19,2019,151291,Female,15.0,Single,Virginia,Basic,Unemployment,Card,1.0,2922.97
80,02/05/19,2019,151292,Male,55.0,Married,Michigan,Basic,Employees,PayPal,0.0,803.5
81,02/06/19,2019,151293,Male,75.0,Married,Maryland,Basic,Employees,Card,1.0,1612.63
82,02/06/19,2019,151294,Female,77.0,Single,Nebraska,Platinum,Employees,PayPal,1.0,1608.27
