"","Transaction_date","Transaction_ID","Gender","Age","Marital_status","State_names","Segment","Employees_status","Payment_method","Referal","Amount_spent"
"1",2019-01-01,151200,"Female",19,"Single","Kansas","Basic","Unemployment","Other","Reffered",2051.36
"2",2019-01-01,151201,"Male",49,"Single","Illinois","Basic","self-employed","Card","Not Referred",544.04
"3",2019-01-01,151202,"Male",63,"Married","New Mexico","Basic","workers","PayPal","Reffered",1572.6
"4",2019-01-03,151205,"Male",71,"Single","Hawaii","Basic","Employees","PayPal","Reffered",2922.66
"5",2019-01-03,151206,"Female",34,"Married","New Mexico","Platinum","Employees","PayPal","Reffered",1481.42
"6",2019-01-03,151207,"Male",37,"Married","Connecticut","Basic","workers","PayPal","Reffered",1149.55
"7",2019-01-04,151208,"Male",75,"Married","Florida","Silver","Employees","Card","Not Referred",1046.2
"8",2019-01-04,151209,"Female",41,"Married","Vermont","Gold","Unemployment","Card","Reffered",2730.6
"9",2019-01-04,151210,"Female",56,"Married","California","Basic","Employees","PayPal","Not Referred",1712.82
"10",2019-01-05,151211,"Female",63,"Married","Colorado","Basic","workers","Other","Reffered",154.31
"11",2019-01-05,151212,"Female",60,"Married","Iowa","Basic","self-employed","Card","Reffered",819.08
"12",2019-01-05,151213,"Male",47,"Single","South Carolina","Basic","Employees","PayPal","Reffered",1719.83
"13",2019-01-05,151214,"Male",24,"Married","Colorado","Platinum","self-employed","Other","Reffered",954.12
"14",2019-01-06,151215,"Male",16,"Single","New York","Platinum","workers","Other","Reffered",1005.92
"15",2019-01-06,151216,"Female",72,"Married","Maine","Silver","self-employed","PayPal","Reffered",2882.77
"16",2019-01-07,151217,"Female",77,"Married","New Mexico","Platinum","workers","Card","Not Referred",2999.98
"17",2019-01-07,151218,"Male",42,"Married","Maryland","Basic","self-employed","Other","Not Referred",1902.73
"18",2019-01-08,151219,"Female",46,"Married","Missouri","Basic","Employees","Card","Reffered",2968.95
"19",2019-01-08,151221,"Male",42,"Married","North Dakota","Silver","workers","PayPal","Not Referred",995.77
"20",2019-01-08,151222,"Female",50,"Married","Ohio","Missing","workers","Card","Not Referred",719.13
"21",2019-01-09,151223,"Male",47,"Single","Nebraska","Basic","self-employed","PayPal","Reffered",2407.36
"22",2019-01-10,151224,"Female",32,"Single","Montana","Basic","Employees","PayPal","Not Referred",2737.41
"23",2019-01-11,151225,"Male",25,"Married","Indiana","Basic","self-employed","Other","Reffered",1514.75
"24",2019-01-12,151226,"Male",33,"Married","Wisconsin","Basic","self-employed","Card","Reffered",293.58
"25",2019-01-12,151227,"Male",61,"Married","Alabama","Platinum","workers","Card","Reffered",1094.67
"26",2019-01-12,151228,"Male",75,"Married","Alabama","Basic","self-employed","PayPal","Reffered",233.05
"27",2019-01-13,151231,"Female",21,"Single","Montana","Basic","Employees","Card","Not Referred",2035.07
"28",2019-01-13,151232,"Male",39,"Single","Arkansas","Basic","Employees","Other","Not Referred",128.29
"29",2019-01-14,151233,"Male",15,"Married","Missouri","Gold","self-employed","Card","Reffered",628.93
"30",2019-01-14,151234,"Female",59,"Married","Pennsylvania","Basic","Employees","Card","Not Referred",1729.36
"31",2019-01-14,151235,"Male",70,"Married","New Hampshire","Silver","workers","Other","Reffered",2040.29
"32",2019-01-14,151236,"Male",75,"Married","Washington","Platinum","Employees","PayPal","Reffered",2744.88
"33",2019-01-16,151237,"Male",64,"Married","Texas","Missing","Employees","PayPal","Reffered",351.88
"34",2019-01-16,151238,"Female",64,"Married","Ohio","Silver","Unemployment","Other","Not Referred",692.14
"35",2019-01-17,151239,"Male",64,"Married","New York","Silver","Unemployment","PayPal","Reffered",2418.62
"36",2019-01-17,151240,"Female",21,"Married","Kentucky","Basic","workers","Card","Not Referred",2734.15
"37",2019-01-17,151241,"Female",46,"Married","New Mexico","Silver","workers","PayPal","Reffered",2851.83
"38",2019-01-17,151242,"Female",16,"Single","Texas","Gold","self-employed","PayPal","Reffered",938.16
"39",2019-01-18,151243,"Female",63,"Married","Maine","Gold","workers","PayPal","Reffered",281.92
"40",2019-01-19,151244,"Male",75,"Single","Massachusetts","Basic","Employees","PayPal","Reffered",747.68
"41",2019-01-20,151245,"Male",70,"Married","Wyoming","Basic","Unemployment","Card","Reffered",1784.15
"42",2019-01-20,151246,"Male",41,"Single","Kentucky","Missing","Employees","PayPal","Reffered",1115.9
"43",2019-01-21,151247,"Male",33,"Married","Florida","Silver","Employees","Other","Not Referred",1902.47
"44",2019-01-21,151248,"Female",64,"Single","Massachusetts","Platinum","self-employed","Card","Reffered",1949.92
"45",2019-01-22,151250,"Female",16,"Married","Maryland","Silver","Employees","PayPal","Reffered",583.72
"46",2019-01-22,151251,"Male",56,"Single","Louisiana","Basic","self-employed","Card","Not Referred",2445.03
"47",2019-01-22,151252,"Male",35,"Married","North Carolina","Basic","Unemployment","PayPal","Reffered",1107.96
"48",2019-01-23,151253,"Male",51,"Single","Kentucky","Basic","self-employed","PayPal","Reffered",1312.78
"49",2019-01-23,151254,"Male",15,"Married","Illinois","Basic","Employees","Card","Reffered",2690.18
"50",2019-01-24,151255,"Male",26,"Single","Rhode Island","Basic","workers","PayPal","Reffered",2603.22
"51",2019-01-25,151256,"Female",67,"Single","Iowa","Gold","Employees","PayPal","Reffered",611.7
"52",2019-01-25,151257,"Male",71,"Single","Massachusetts","Gold","Employees","PayPal","Reffered",2569.67
"53",2019-01-25,151259,"Male",73,"Married","West Virginia","Basic","Employees","PayPal","Not Referred",1397.09
"54",2019-01-26,151260,"Male",55,"Married","Kansas","Basic","Employees","Other","Reffered",1277.64
"55",2019-01-26,151262,"Male",15,"Married","South Carolina","Basic","self-employed","Other","Reffered",790.1
"56",2019-01-27,151263,"Female",63,"Single","Texas","Gold","Employees","Card","Reffered",1218.56
"57",2019-01-25,151259,"Male",73,"Married","West Virginia","Basic","Employees","PayPal","Not Referred",1397.09
"58",2019-01-26,151260,"Male",55,"Married","Kansas","Basic","Employees","Other","Reffered",1277.64
"59",2019-01-26,151262,"Male",15,"Married","South Carolina","Basic","self-employed","Other","Reffered",790.1
"60",2019-01-27,151263,"Female",63,"Single","Texas","Gold","Employees","Card","Reffered",1218.56
"61",2019-01-27,151264,"Male",52,"Married","Tennessee","Basic","self-employed","PayPal","Reffered",2850.48
"62",2019-01-27,151265,"Female",30,"Single","California","Silver","workers","Card","Not Referred",1947.2
"63",2019-01-29,151266,"Male",24,"Married","Colorado","Platinum","workers","PayPal","Not Referred",1731.54
"64",2019-01-29,151270,"Male",24,"Married","Oregon","Silver","workers","Other","Reffered",1663.72
"65",2019-01-30,151273,"Female",73,"Married","Alaska","Platinum","self-employed","PayPal","Not Referred",1364.31
"66",2019-01-30,151274,"Male",50,"Single","Oklahoma","Missing","Employees","Card","Reffered",2943.46
"67",2019-01-30,151275,"Male",28,"Single","Connecticut","Basic","Unemployment","Card","Reffered",2768.15
"68",2019-01-31,151276,"Female",49,"Married","Vermont","Basic","workers","PayPal","Reffered",2439.65
"69",2019-01-31,151277,"Female",70,"Married","Ohio","Silver","workers","Other","Reffered",574.1
"70",2019-02-01,151278,"Female",61,"Single","Oklahoma","Basic","self-employed","Card","Not Referred",206.79
"71",2019-02-02,151280,"Male",34,"Single","Illinois","Silver","workers","PayPal","Reffered",1933.66
"72",2019-02-02,151281,"Female",58,"Married","Nevada","Gold","workers","Card","Not Referred",2640.72
"73",2019-02-02,151282,"Male",70,"Single","New Jersey","Basic","workers","PayPal","Not Referred",2969.24
"74",2019-02-02,151283,"Female",48,"Married","Louisiana","Silver","Employees","Other","Not Referred",1144.28
"75",2019-02-03,151285,"Female",51,"Married","Indiana","Platinum","workers","PayPal","Reffered",2722.37
"76",2019-02-03,151286,"Male",45,"Single","New York","Basic","Employees","Other","Not Referred",2823.89
"77",2019-02-04,151287,"Female",45,"Single","New York","Silver","workers","PayPal","Not Referred",1955.43
"78",2019-02-04,151288,"Male",60,"Married","Rhode Island","Silver","Employees","Card","Reffered",841.26
"79",2019-02-05,151290,"Female",51,"Single","Arkansas","Platinum","workers","Card","Reffered",2547.96
"80",2019-02-05,151291,"Female",15,"Single","Virginia","Basic","Unemployment","Card","Reffered",2922.97
"81",2019-02-05,151292,"Male",55,"Married","Michigan","Basic","Employees","PayPal","Not Referred",803.5
"82",2019-02-06,151293,"Male",75,"Married","Maryland","Basic","Employees","Card","Reffered",1612.63
"83",2019-02-06,151294,"Female",77,"Single","Nebraska","Platinum","Employees","PayPal","Reffered",1608.27
"84",2019-02-06,151295,"Female",22,"Married","Kansas","Missing","workers","Card","Not Referred",2061.14
"85",2019-02-06,151296,"Female",33,"Married","Virginia","Platinum","Employees","PayPal","Not Referred",2989.33
"86",2019-02-06,151297,"Male",60,"Married","Utah","Silver","Unemployment","Other","Reffered",433.2
"87",2019-02-07,151298,"Female",45,"Married","Missouri","Platinum","workers","Other","Reffered",929.89
"88",2019-02-08,151299,"Male",33,"Single","Arizona","Silver","workers","PayPal","Not Referred",2560.26
"89",2019-02-08,151301,"Female",53,"Single","Colorado","Basic","self-employed","Other","Reffered",1888.69
"90",2019-02-08,151302,"Female",70,"Married","New Hampshire","Missing","Employees","Card","Reffered",685.49
"91",2019-02-08,151303,"Male",16,"Married","Nebraska","Basic","workers","PayPal","Reffered",1264.73
"92",2019-02-06,151297,"Male",60,"Married","Utah","Silver","Unemployment","Other","Reffered",433.2
"93",2019-02-07,151298,"Female",45,"Married","Missouri","Platinum","workers","Other","Reffered",929.89
"94",2019-02-08,151299,"Male",33,"Single","Arizona","Silver","workers","PayPal","Not Referred",2560.26
"95",2019-02-08,151301,"Female",53,"Single","Colorado","Basic","self-employed","Other","Reffered",1888.69
"96",2019-02-08,151302,"Female",70,"Married","New Hampshire","Missing","Employees","Card","Reffered",685.49
"97",2019-02-08,151303,"Male",16,"Married","Nebraska","Basic","workers","PayPal","Reffered",1264.73
"98",2019-02-10,151305,"Female",25,"Married","Wyoming","Silver","workers","Other","Reffered",309.82
"99",2019-02-10,151306,"Female",76,"Single","Ohio","Basic","self-employed","PayPal","Reffered",1331.62
"100",2019-02-11,151307,"Female",43,"Married","Wyoming","Basic","Employees","Card","Reffered",914.94
"101",2019-02-11,151308,"Female",32,"Single","Oregon","Basic","workers","PayPal","Reffered",2922.53
"102",2019-02-11,151309,"Male",43,"Married","Tennessee","Silver","self-employed","PayPal","Not Referred",2434.81
"103",2019-02-12,151310,"Female",19,"Single","Louisiana","Platinum","workers","Card","Not Referred",1711.6
"104",2019-02-12,151311,"Female",41,"Married","Utah","Basic","self-employed","Other","Not Referred",1178.02
"105",2019-02-12,151312,"Male",32,"Married","Florida","Silver","Employees","PayPal","Reffered",15.37
"106",2019-02-12,151313,"Male",76,"Single","Michigan","Silver","Unemployment","PayPal","Reffered",764.34
"107",2019-02-12,151314,"Female",55,"Married","Kansas","Platinum","Employees","PayPal","Reffered",329.18
"108",2019-02-13,151315,"Female",72,"Single","South Dakota","Basic","Unemployment","Other","Not Referred",1380
"109",2019-02-13,151316,"Male",56,"Single","Virginia","Platinum","self-employed","PayPal","Reffered",46.72
"110",2019-02-13,151317,"Male",74,"Single","Connecticut","Basic","workers","Other","Reffered",560.13
"111",2019-02-14,151320,"Female",31,"Married","Washington","Missing","self-employed","Card","Reffered",2508.55
"112",2019-02-14,151321,"Female",69,"Single","Montana","Basic","self-employed","PayPal","Reffered",2906.08
"113",2019-02-15,151322,"Male",52,"Single","Michigan","Gold","Unemployment","PayPal","Reffered",1093.33
"114",2019-02-15,151323,"Female",15,"Married","Alaska","Basic","self-employed","Other","Not Referred",1408.1
"115",2019-02-16,151324,"Male",74,"Single","Wisconsin","Basic","workers","Card","Not Referred",490.37
"116",2019-02-17,151326,"Male",24,"Married","Louisiana","Missing","Employees","Other","Not Referred",1204.03
"117",2019-02-17,151327,"Female",77,"Single","Kansas","Platinum","self-employed","PayPal","Not Referred",200.58
